dataset_number,physics_short,e-tag,crossSection_pb,genFiltEff,kFactor,nEvents,totalWeight,scaledWeight,process,generator,keywords,description,job_path,,,,,,,,,,,,,,,,,,,scaledWeights = crossSection_pb*
301215,Pythia8EvtGen_A14NNPDF23LO_Zprime_NoInt_ee_E6Chi2000,e3795,0.0088422,1.00E+00,1,19800,19800,8.84E-03,pp>Zprime>ee,Pythia8(v8.186)+EvtGen(v1.2.0),"['2electron', 'BSM', 'Zprime', 'electroweak', 'heavyBoson', 'resonance']",Pythia 8 Zprime decaying to two electrons,https://gitlab.cern.ch/atlas-physics/pmg/infrastructure/mc15joboptions/-/tree/master/share/DSID301xxx/MC15.301215.Pythia8EvtGen_A14NNPDF23LO_Zprime_NoInt_ee_E6Chi2000.py,,,,,,,,,,,,,,,,,,,
301216,Pythia8EvtGen_A14NNPDF23LO_Zprime_NoInt_ee_E6Chi3000,e3795,0.00080617,1.00E+00,1,19600,19600,8.06E-04,pp>Zprime>ee,Pythia8(v8.186)+EvtGen(v1.2.0),"['2electron', 'BSM', 'Zprime', 'electroweak', 'heavyBoson', 'resonance']",Pythia 8 Zprime decaying to two electrons,https://gitlab.cern.ch/atlas-physics/pmg/infrastructure/mc15joboptions/-/tree/master/share/DSID301xxx/MC15.301216.Pythia8EvtGen_A14NNPDF23LO_Zprime_NoInt_ee_E6Chi3000.py,,,,,,,,,,,,,,,,,,,
301217,Pythia8EvtGen_A14NNPDF23LO_Zprime_NoInt_ee_E6Chi4000,e3795,0.00010351,1.00E+00,1,19800,19800,1.04E-04,pp>Zprime>ee,Pythia8(v8.186)+EvtGen(v1.2.0),"['2electron', 'BSM', 'Zprime', 'electroweak', 'heavyBoson', 'resonance']",Pythia 8 Zprime decaying to two electrons,https://gitlab.cern.ch/atlas-physics/pmg/infrastructure/mc15joboptions/-/tree/master/share/DSID301xxx/MC15.301217.Pythia8EvtGen_A14NNPDF23LO_Zprime_NoInt_ee_E6Chi4000.py,,,,,,,,,,,,,,,,,,,
301218,Pythia8EvtGen_A14NNPDF23LO_Zprime_NoInt_ee_E6Chi5000,e3795,1.83E-05,1.00E+00,1,18000,18000,1.83E-05,pp>Zprime>ee,Pythia8(v8.186)+EvtGen(v1.2.0),"['2electron', 'BSM', 'Zprime', 'electroweak', 'heavyBoson', 'resonance']",Pythia 8 Zprime decaying to two electrons,https://gitlab.cern.ch/atlas-physics/pmg/infrastructure/mc15joboptions/-/tree/master/share/DSID301xxx/MC15.301218.Pythia8EvtGen_A14NNPDF23LO_Zprime_NoInt_ee_E6Chi5000.py,,,,,,,,,,,,,,,,,,,
301220,Pythia8EvtGen_A14NNPDF23LO_Zprime_NoInt_mumu_E6Chi2000,e3795,0.0088408,1.00E+00,1,983000,983000,8.84E-03,pp>Zprime>mm,Pythia8(v8.186)+EvtGen(v1.2.0),"['2muon', 'BSM', 'Zprime', 'electroweak', 'heavyBoson', 'resonance']",Pythia 8 Zprime decaying to two muons,https://gitlab.cern.ch/atlas-physics/pmg/infrastructure/mc15joboptions/-/tree/master/share/DSID301xxx/MC15.301220.Pythia8EvtGen_A14NNPDF23LO_Zprime_NoInt_mumu_E6Chi2000.py,,,,,,,,,,,,,,,,,,,
301221,Pythia8EvtGen_A14NNPDF23LO_Zprime_NoInt_mumu_E6Chi3000,e3795,0.0008045,1.00E+00,1,988000,988000,8.05E-04,pp>Zprime>mm,Pythia8(v8.186)+EvtGen(v1.2.0),"['2muon', 'BSM', 'Zprime', 'electroweak', 'heavyBoson', 'resonance']",Pythia 8 Zprime decaying to two muons,https://gitlab.cern.ch/atlas-physics/pmg/infrastructure/mc15joboptions/-/tree/master/share/DSID301xxx/MC15.301221.Pythia8EvtGen_A14NNPDF23LO_Zprime_NoInt_mumu_E6Chi3000.py,,,,,,,,,,,,,,,,,,,
301222,Pythia8EvtGen_A14NNPDF23LO_Zprime_NoInt_mumu_E6Chi4000,e3795,0.0001039,1.00E+00,1,986000,986000,1.04E-04,pp>Zprime>mm,Pythia8(v8.186)+EvtGen(v1.2.0),"['2muon', 'BSM', 'Zprime', 'electroweak', 'heavyBoson', 'resonance']",Pythia 8 Zprime decaying to two muons,https://gitlab.cern.ch/atlas-physics/pmg/infrastructure/mc15joboptions/-/tree/master/share/DSID301xxx/MC15.301222.Pythia8EvtGen_A14NNPDF23LO_Zprime_NoInt_mumu_E6Chi4000.py,,,,,,,,,,,,,,,,,,,
301223,Pythia8EvtGen_A14NNPDF23LO_Zprime_NoInt_mumu_E6Chi5000,e3795,1.84E-05,1.00E+00,1,,,#DIV/0!,pp>Zprime>mm,Pythia8(v8.186)+EvtGen(v1.2.0),"['2muon', 'BSM', 'Zprime', 'electroweak', 'heavyBoson', 'resonance']",Pythia 8 Zprime decaying to two muons,https://gitlab.cern.ch/atlas-physics/pmg/infrastructure/mc15joboptions/-/tree/master/share/DSID301xxx/MC15.301223.Pythia8EvtGen_A14NNPDF23LO_Zprime_NoInt_mumu_E6Chi5000.py,,,,,,,,,,,,,,,,,,,
301322,Pythia8EvtGen_A14NNPDF23LO_zprime400_tt,e4061,8.9857,1.00E+00,1,199200,199200,8.99E+00,pp>Zprime>ttbar,Pythia8(v8.186)+EvtGen(v1.2.0),"['BSM', 'Zprime', 'resonance', 'ttbar']",SSM Z prime 400 to ttbar,https://gitlab.cern.ch/atlas-physics/pmg/infrastructure/mc15joboptions/-/tree/master/share/DSID301xxx/MC15.301322.Pythia8EvtGen_A14NNPDF23LO_zprime400_tt.py,,,,,,,,,,,,,,,,,,,
301323,Pythia8EvtGen_A14NNPDF23LO_zprime500_tt,e4061,8.743,1.00E+00,1,199600,199600,8.74E+00,pp>Zprime>ttbar,Pythia8(v8.186)+EvtGen(v1.2.0),"['BSM', 'Zprime', 'resonance', 'ttbar']",SSM Z prime 500 to ttbar,https://gitlab.cern.ch/atlas-physics/pmg/infrastructure/mc15joboptions/-/tree/master/share/DSID301xxx/MC15.301323.Pythia8EvtGen_A14NNPDF23LO_zprime500_tt.py,,,,,,,,,,,,,,,,,,,
301324,Pythia8EvtGen_A14NNPDF23LO_zprime750_tt,e4061,3.1201,1.00E+00,1,199000,199000,3.12E+00,pp>Zprime>ttbar,Pythia8(v8.186)+EvtGen(v1.2.0),"['BSM', 'Zprime', 'resonance', 'ttbar']",SSM Z prime 750 to ttbar,https://gitlab.cern.ch/atlas-physics/pmg/infrastructure/mc15joboptions/-/tree/master/share/DSID301xxx/MC15.301324.Pythia8EvtGen_A14NNPDF23LO_zprime750_tt.py,,,,,,,,,,,,,,,,,,,
301325,Pythia8EvtGen_A14NNPDF23LO_zprime1000_tt,e4061,1.1261,1.00E+00,1,199800,199800,1.13E+00,pp>Zprime>ttbar,Pythia8(v8.186)+EvtGen(v1.2.0),"[""BSM"", ""Zprime"" ,""resonance"", ""ttbar""]",SSM Z prime 1000 to ttbar,https://gitlab.cern.ch/atlas-physics/pmg/infrastructure/mc15joboptions/-/tree/master/share/DSID301xxx/MC15.301325.Pythia8EvtGen_A14NNPDF23LO_zprime1000_tt.py,,,,,,,,,,,,,,,,,,,
301326,Pythia8EvtGen_A14NNPDF23LO_zprime1250_tt,e4061,0.45981,1.00E+00,1,199200,199200,4.60E-01,pp>Zprime>ttbar,Pythia8(v8.186)+EvtGen(v1.2.0),"['BSM', 'Zprime', 'resonance', 'ttbar']",SSM Z prime 1250 to ttbar,https://gitlab.cern.ch/atlas-physics/pmg/infrastructure/mc15joboptions/-/tree/master/share/DSID301xxx/MC15.301326.Pythia8EvtGen_A14NNPDF23LO_zprime1250_tt.py,,,,,,,,,,,,,,,,,,,
301327,Pythia8EvtGen_A14NNPDF23LO_zprime1500_tt,e4061,0.20685,1.00E+00,1,198800,198800,2.07E-01,pp>Zprime>ttbar,Pythia8(v8.186)+EvtGen(v1.2.0),"['BSM', 'Zprime', 'resonance', 'ttbar']",SSM Z prime 1500 to ttbar,https://gitlab.cern.ch/atlas-physics/pmg/infrastructure/mc15joboptions/-/tree/master/share/DSID301xxx/MC15.301327.Pythia8EvtGen_A14NNPDF23LO_zprime1500_tt.py,,,,,,,,,,,,,,,,,,,
301328,Pythia8EvtGen_A14NNPDF23LO_zprime1750_tt,e4061,0.10016,1.00E+00,1,199800,199800,1.00E-01,pp>Zprime>ttbar,Pythia8(v8.186)+EvtGen(v1.2.0),"['BSM', 'Zprime', 'resonance', 'ttbar']",SSM Z prime 1750 to ttbar,https://gitlab.cern.ch/atlas-physics/pmg/infrastructure/mc15joboptions/-/tree/master/share/DSID301xxx/MC15.301328.Pythia8EvtGen_A14NNPDF23LO_zprime1750_tt.py,,,,,,,,,,,,,,,,,,,
301329,Pythia8EvtGen_A14NNPDF23LO_zprime2000_tt,e4061,0.051346,1.00E+00,1,199800,199800,5.13E-02,pp>Zprime>ttbar,Pythia8(v8.186)+EvtGen(v1.2.0),"['BSM', 'Zprime', 'resonance', 'ttbar']",SSM Z prime 2000 to ttbar,https://gitlab.cern.ch/atlas-physics/pmg/infrastructure/mc15joboptions/-/tree/master/share/DSID301xxx/MC15.301329.Pythia8EvtGen_A14NNPDF23LO_zprime2000_tt.py,,,,,,,,,,,,,,,,,,,
